,reply_text,reply_type
1038,"['Good', 'folk', 'of', 'Ferguson', ',', 'Support', 'your', 'Police', 'Dept', '.', ',', 'Riot', 'against', 'the', 'THUGS', 'in', 'your', 'town', '.']",comment
1039,"['if', 'there', 'was', 'a', 'black', 'person', 'in', 'an', 'altercation', 'in', 'a', 'convenience', 'store', ',', 'that', 'totally', 'justifies', 'killing', 'another', 'black', 'person', ',', 'right', '?']",comment
1040,"['JUSTICE', 'FOR', 'THE', 'POLICE', 'DEPT', '.', 'they', 'were', 'doing', 'their', 'job', '&', 'protecting', 'your', 'sorry', 'butts', '.']",comment
1041,"['are', 'you', 'really', 'justifying', 'the', 'murder', 'of', 'an', 'unarmed', 'kid', '?', 'o']",deny
1042,"['He', ""wasn't"", 'a', 'kid', ',', 'an', 'Adult', 'who', 'was', 'robbing', 'a', 'business', '.']",comment
1043,"['you', 'are', 'saying', ""that's"", 'mike', 'brown', 'in', 'the', 'picture', '?', ""It's"", 'not', '.', 'Two', 'events', 'unconnected', '.', ""What's"", 'your', 'point', '?']",deny
1044,"['I', 'think', 'is', 'saying', ':', 'tough', 'guy', 'in', 'pic', 'is', 'low', 'life', 'scum', 'whether', ""it's"", 'the', 'late', 'Mr', '.', 'Brown', 'or', 'not']",comment
1045,"['then', ""what's"", 'the', 'relevance', '?']",comment
1046,"['low', 'life', 'scum', 'I', 'think']",comment
1047,"['still', 'unclear', 'in', 'the', 'context', 'of', 'the', 'shooting', 'of', 'an', 'unarmed', 'teen', '.', 'But', 'ok', '.']",query
1048,"['A', 'black', 'cop', 'shot', 'Mr', '.', 'Brown', 'if', 'he', 'is', 'charged', '(', 'it', 'will', 'be', 'racist', ')', 'there', 'will', 'be', 'more', 'riots', '.']",comment
1049,"['is', 'an', 'ADULT']",comment
1050,"['I', 'said', 'teen', 'not', 'child', 'but', 'again', ',', 'how', 'is', 'the', 'pic', 'relevant', '?']",comment
1051,"['You', 'are', 'a', 'Peter', 'Piper', 'follower', '.', 'Monkey', 'see', ',', 'monkey', 'do', '.']",comment
1052,"['what', 'point', 'are', 'you', 'making', 'about', 'the', 'photo', '?']",query
1053,"['are', 'you', 'justifying', 'the', 'murder', 'of', 'an', 'unarmed', 'ADULT', '?']",comment
1054,"['Wait', ',', 'so', 'why', ""didn't"", 'we', 'shoot', 'down', 'the', 'ARMED', '(', 'white', ')', 'men', 'who', 'shot', 'up', 'theaters', 'and', 'schools', '?']",comment
1055,"['They', 'killed', 'themselves', ',', 'Thugs', 'are', 'thugs', 'whatever', 'color', 'they', 'are', '.']",comment
1056,"['um', ',', 'they', 'killed', 'themself', '.']",comment
1057,['.'],comment
1058,"['Aaaaand', 'this', ':']",comment
1059,[],query
1060,"['James', 'Holmes', 'is', 'still', 'alive', '.', 'So', 'is', 'the', 'guy', 'who', 'shot', 'a', 'congresswomen', 'in', 'Az', '.']",query
1061,"['Call', 'me', '""', 'dumb', '""', 'all', 'you', 'want', '.', 'Just', 'realize', 'that', 'probably', 'makes', 'your', 'tawdry', ',', 'feeble-minded', 'ass', 'stupid', '(', 'at', 'best', ')', 'in', 'comparison', '.']",comment
1062,"['YES', ',', 'it', 'was', 'JUSTIFIED']",support
1063,"[""you're"", 'one', 'sick', 'racist', 'bitch']",comment
1064,"[""You're"", 'one', 'sick', 'stupid', 'person', '.']",comment
1065,"['If', 'this', 'is', 'real', ',', 'I', 'feel', 'one', 'of', 'those', 'moments', 'coming', 'on', 'both', 'sides', ',', 'the', 'neighborhood', 'and', 'the', 'police', '.']",comment
1066,"['red', 'hat', '?']",query
1067,"['umm', ""wasn't"", 'Mike', 'Brown', 'wearing', 'pants', ',', 'and', 'shoes', '?']",query
1068,"['that', 'dude', 'is', 'huge']",comment
1069,"['Waiting', 'to', 'see', 'an', 'outpouring', 'of', 'sympathy', 'for', 'the', 'owner', 'of', 'the', 'store', 'that', 'was', 'attacked', '.', 'Not', 'holding', 'my', 'breath', '.']",comment
1070,"['That', 'person', 'does', 'not', 'look', '.', 'It', 'actually', 'looks', 'a', 'lot', 'like', 'a', 'looter', 'with', 'their', 'face', 'covered', 'that', 'was', 'photographed', 'by']",deny
1071,"['Take', 'a', 'look', 'at', 'college', 'football', 'players', ',', 'roughly', 'same', 'size', 'and', 'maturity', '(', 'in', 'terms', 'of', 'looking', 'older', ')', '.']",comment
1072,"['my', 'brother', 'played', ',', ""I'm"", 'familiar', 'with', 'their', 'size']",comment
1073,"['This', 'proves', 'what', '?', 'RT', 'Update', ':', 'police', 'release', 'stills', 'from', 'convenience', 'store', 'footage', 'showing', 'robbery']",comment
1074,"['That', 'maybe', 'he', 'did', 'try', '&', 'take', 'cops', 'gun', 'though', 'window', '(', 'something', 'witnesses', 'could', 'not', 'see', ')', '.', 'This', 'goes', 'toward', 'CHARACTER', '.']",comment
1075,"['poor', 'baby', '""', 'he', 'din', 'do', 'nuffin', '""', 'lol']",comment
1076,"['Gentle', 'giant', '.']",comment
1077,"['I', ""didn't"", 'head', 'you']",comment
1078,"['Wow', '!']",comment
1079,"[""I'm"", 'looking', 'for', 'his', 'read', 'hat', 'and', 'his', 'flip', 'flops', 'can', 'you', 'find', 'them', '?']",query
1080,"['here', 'goes', 'the', 'fukkry', 'now', 'look', 'at', 'his', 'picture', '.', 'o', 'wait', 'he', 'is', 'black', 'robber', 'black', '.', 'Has', 'it', 'been', 'confirmed', '.', 'Or', 'just', 'blow', 'smoke', 'our', 'bum']",comment
1081,"['if', 'the', 'officer', 'did', 'his', 'job', 'he', 'would', 'be', 'arrested', 'not', 'murdered', '.', 'Still', 'the', 'point', '.']",comment
1082,"['Gentle', 'Giant', ',', 'RIGHT', '.', 'Go', 'arrest', 'that', 'partner', 'he', 'had', 'too', '.']",deny
1083,"['Targeting', 'the', 'soldiers', 'is', 'a', 'stupid', 'act', '.', 'They', 'have', 'not', 'decided', 'to', 'go', 'in', '...']",comment
1084,"['AND', 'war', 'memorial', ',', 'or', 'is', 'this', 'same', '?']",query
1085,"['“', ':', 'BREAKING', '-', 'Shooting', 'on', 'Parliament', 'Hill', '.', 'RCMP', 'have', 'weapons', 'drawn', '”']",comment
1086,"['“', ':', 'BREAKING', '-', 'Shooting', 'on', 'Parliament', 'Hill', '.', 'RCMP', 'have', 'weapons', 'drawn', '”']",deny
1087,"['“', ':', 'BREAKING', '-', 'Shooting', 'on', 'Parliament', 'Hill', '.', 'RCMP', 'have', 'weapons', 'drawn', '”', 'holy', 'shit']",support
1088,"['lock', 'it', 'down', '!', 'find', 'the', 'criminals', '..', 'wait', ',', 'the', 'buildings', 'full', 'of', 'criminals', '!']",comment
1089,"['“', ':', 'BREAKING', '-', 'Shooting', 'on', 'Parliament', 'Hill', '.', 'RCMP', 'have', 'weapons', 'drawn', '”', 'sirens', 'galore', 'down', 'here']",deny
1090,"['any', 'updates', '?']",query
1091,"['“', ':', 'BREAKING', '-', 'Shooting', 'on', 'Parliament', 'Hill', '.', 'RCMP', 'have', 'weapons', 'drawn', '”', 'Oh', 'Canada', '!']",comment
1092,"[""it's"", 'probably']",comment
1093,"['Soo', '...', 'Its', 'tomorrow', 'night', '!', '?']",query
1094,"['There', 'ya', 'go', '.', 'RT', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.']",comment
1095,"['Err', ',', 'twist', '?', 'RT', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.']",support
1096,"['But', 'rd', 'Eye', 'Girl', 'will', 'be', '?', 'Did', 'you', 'ask', 'LN', 'if', 'The', 'Artist', 'Formerly', 'Known', 'As', 'is', 'playing', '?']",comment
1097,"['maybe', 'tomorrow', '?']",query
1098,"['“', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.', '”']",comment
1099,"['thank', 'you', 'for', 'that', 'tweet', '!', '!', 'MUCHO', 'APPRECIATEO']",support
1100,"['“', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.', '”']",support
1101,"['Poor', 'suckers', 'in', 'line', '!', '“', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.', '”']",comment
1102,"['Tomorrow', 'Night', '?']",query
1103,"['“', '?', '!', '?', '!', '?', ':', 'In', 'response', 'to', 'inquiries', ',', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.', '”']",query
1104,"['""', 'Change', 'of', 'plans', '.', '""', 'Hmmm', '.']",comment
1105,"['What', 'about', 'tomorrow', 'night', '?', 'in', 'still', 'a', 'possibility', '?']",query
1106,"['This', 'is', 'what', 'it', 'feels', 'like', '/', 'when', 'doves', 'cry', 'RT', ':', 'we', 'can', 'confirm', 'that', 'Prince', 'will', 'not', 'be', 'performing', 'at', 'tonight', '.']",comment
1107,"['aw', 'man', '!', 'That', 'got', 'my', 'funny', 'bone', '!']",comment
1108,"['WHAT', 'THE', 'HELL', 'EVEN', 'JUST', 'HAPPENED', 'TODAY']",comment
1109,"['How', 'dreadful', '.']",support
1110,"['why', 'does', 'one', 'feel', 'that', 'this', 'may', 'have', 'something', 'to', 'so', 'with', 'freedom', 'of', 'speech', '-']",comment
1111,"['Nowhere', 'is', 'safe', 'anymore', '?', '""']",support
1112,['died'],deny
1113,"['oh', 'my', 'gosh']",support
1114,"['SAD', 'indeed', '...']",comment
1115,"['“', ':', 'BREAKING', ':', 'At', 'least', 'killed', 'in', 'shooting', 'at', 'French', 'satirical', 'newspaper', 'Charlie', 'Hebdo', ',', 'Paris', ""prosecutor's"", 'office', 'says', '.']",support
1116,['killed'],deny
1117,"['actually', 'that', 'wasnt', 'me', 'it', 'was', 'the', 'cats', 'present', 'me', 'but', 'it', 'was', 'floping', 'like', 'aflipperedfish', 'so', 'i', 'spatonitandthrewitinthegardenbed']",comment
1118,"['the', 'headlesschookìmpersonatingghekowithnotail', 'gotaway', 'oh', 'unlesthecatateit', 'anyway', 'im', 'stil', 'last', 'withonly', 'beetles']",comment
1119,"['curly', 'wurlys', 'are', 'so', 'much', 'nicer', 'than', 'half', 'avocados', 'dont', 'u', 'think', '?']",support
1120,"['(', '9', 'journalists', 'and', 'policemen', ')', 'killed', 'and', 'injured', '.', 'Moreover', 'witnesses', 'affirm', 'that', 'they', 'said', '""', ""We're"", 'gonna', 'avenge', 'our', 'prophet', '""']",support
1121,"['Omg', '...', 'what', 'is', 'the', 'world', 'turning', 'into', '. ..']",deny
1122,"['prayers', 'being', 'sent']",comment
1123,"['thank', 'you']",comment
1124,"['“', ':', 'At', 'least', 'killed', 'in', 'shooting', 'at', 'French', 'satirical', 'newspaper', 'Charlie', 'Hebdo', ',', 'Paris', ""prosecutor's"", 'office', 'says', '.', '”']",support
1125,"['Sad', 'sad', 'day']",comment
1126,"['Oh', 'and', 'our', 'anti-terrorist', 'plan', 'has', 'just', 'been', 'put', 'to', 'its', 'highest', 'level', 'in', 'the', 'part', 'in', 'which', 'the', ""drama's"", 'happening', '.']",support
1127,[],support
1128,"['Killed', 'now']",comment
1129,"['A', 'person', 'killed', 'his', 'own', 'son', '&', 'daughter', 'bcz', 'authority', 'neglected', 'his', 'rights', 'of', 'social', 'security', 'benefits', '.']",deny
1130,"['May', 'God', 'have', 'mercy', 'on', 'our', 'world', '.', 'Not', 'France', 'this', 'time', 'for', 'these', 'killings']",comment
1131,"['How', 'could', 'this', 'happen', '?', 'France', 'has', 'pretty', 'restrictive', 'gun', 'laws', '.']",comment
1132,"['Indeed', 'but', 'illegal', 'traffics', 'still', 'exist', 'and', 'gunfights', 'are', 'not', 'that', 'rare', 'in', 'hard', 'districts']",comment
1133,"['when', 'will', 'we', 'hear', 'good', 'new', 'like', 'the', 'people', 'are', 'living', 'in', 'peace', ',', 'hmmmm', '...', 'killing', 'every', 'day']",comment
1134,"['gm', 'wow', 'just', 'cld', 'Potus', 'all', 'but', 'N', 'wrd', 'on', 'air.Birthers']",comment
1135,"['when', 'u', 'spew', 'racism', ',', 'hate', 'of', 'us', 'blks', '&', 'amptus', 'u', 'shw', 'slvs']",comment
1136,"['they', 'just', 'went', 'aft', 'Potus', ',', 'Flotus', '&', 'fam', 'going', 'on', 'vacation', 'lk', 'whites', 'do', 'daily']",comment
1137,"['>', 'Obamas', 'cnt', 'vac', 'per', 'racist']",comment
1138,"['Potus', 'blk', 'per', 'cnt', 'go', 'golf.wow']",comment
1139,"['we', 'blks', 'Potus', 'see', '>', 'racism', 'runs', 'deep']",comment
1140,"['“', ':', 'A', 'woman', 'in', 'was', 'shot', 'in', 'head', 'last', 'night', 'and', 'released', 'this', 'selfie', ':', '”']",support
1141,"['wow', '.']",comment
1142,"['as', 'reported', 'by', ';', 'injured', 'in', 'a', 'RANDOM', 'drive-by', 'shooting', 'per', 'Lt', '.', 'Col', 'w', '/']",support
1143,"['The', 'story', 'is', 'true', '.']",support
1144,"['which', 'version', '?']",query
1145,"['Shooting', 'related', 'to', 'protesting', '.', 'Ppl', 'on', 'the', 'street', 'are', 'upset', 'about', 'this', '.', 'Also', ',', 'mo', 'pregnant', 'woman', 'forced', 'facedown', 'on', 'ground']",support
1146,"[""she's"", 'been', 'reporting', 'on', 'the', 'story', 'for', 'days', 'diligently', '.', 'I', ""don't"", 'think', 'she', 'would', 'be', 'violent', '.']",comment
1147,"['“', ':', 'A', 'woman', 'in', 'was', 'shot', 'in', 'head', 'last', 'night', 'and', 'released', 'this', 'selfie', '.', '”']",support
1148,"['compelling', 'photo', '.', ""It's"", 'always', 'miraculous', 'to', 'hear', 'about', 'a', 'headshot', 'victim', 'surviving', '.']",comment
1149,"['-', 'A', 'MONTH', 'LATER', ';', 'police', 'have', 'YET', 'to', 'interview', '.', 'The', 'ambulances', 'came', 'only', 'after', 'numerous', 'calls', '.']",comment
1150,"['Holy', 'Moses', '.', 'I', 'never', 'used', 'to', 'believe', 'it', ',', 'but', 'social', 'media', 'really', 'is', 'changing', 'everything', 'about', 'how', 'we', 'interact', 'and', 'see', '.']",comment
1151,"['Not', 'minding', 'ur', 'own', 'business', 'is', 'often', 'the', 'first', 'step', 'towards', 'big', 'problems.No', 'matter', 'what', 'color', 'u', 'are', 'or', 'how', 'much', 'money', 'u', 'have']",comment
1152,"['This', 'is', 'terrible', '.', 'The', 'police', 'is', 'out', 'of', 'control', 'and', 'needs', 'to', 'be', 'stopped', 'asap', '.']",comment
1153,"['“', ':', 'A', 'woman', 'in', 'was', 'shot', 'in', 'head', 'last', 'night', ',', 'took', 'selfie', '.', '”', 'EVERYTHING', 'WRONG', 'WITH', 'THIS', 'WORLD', '⬆', '️']",comment
1154,['wow'],comment
1155,"['crazy', 'right', '?']",comment
1156,"['and', 'shame', 'on', 'people', 'like', 'your', 'boy', 'skolnik', 'giving', 'it', 'pub', '...', 'just', 'perpetuates', 'ridiculous', 'things', 'like', 'that', '(', 'the', 'selfie', ')']",comment
1157,"['""', 'my', 'boy', '""', 'is', 'a', 'bit', 'much', '.', 'I', 'just', 'follow', 'to', 'get', 'ridiculous', 'shit', 'like', 'this', '.']",comment
1158,"['.', 'french', 'news', 'are', 'reporting', 'at', 'least', 'ppl', 'were', 'killed', 'and', 'ppl', 'injuried', 'in', 'a', 'gunfight', 'with', 'the', 'islamists']",comment
1159,"['All', 'the', 'suspects', 'are', 'called', ""'"", 'Lee', 'Harvey', 'Oswald', ""'"", '.', ""That's"", 'amazing', '.']",comment
1160,"['bring', 'back', 'the', 'guillotine']",comment
1161,"['is', 'ambulance', 'in', 'convoy', '?']",comment
1162,"[""He's"", 'a', 'moron', ',', 'Islamic', 'terrorism', ',', 'stop', 'pussy', 'footing', 'around', 'it', '.']",support
1163,"['Little', 'LATE', 'on', 'the', 'ball', ',', ""aren't"", 'you', '?']",support
1164,"[""It's"", 'Monday', 'in', 'Australia', ',', 'this', 'is', 'from', 'a', 'few', 'hours', 'ago', '.']",comment
1165,"['Sorry', '.', 'I', 'have', 'been', 'watching', 'the', 'coverage', 'for', 'a', 'while', 'now', '.', 'Just', 'thought', 'AP', 'was', 'quicker', 'than', 'that', '.', 'Tweet', 'was', 'posted', 'min', 'ago', '.']",comment
1166,"['I', 'see', ',', ""wasn't"", 'sure', 'if', 'that', 'was', 'what', 'you', 'meant', '.', 'They', 'could', 'have', 'been', 'waiting', 'for', 'the', 'briefing', 'to', 'end', '.']",comment
1167,"[':', 'Hostage', 'situation', 'erupts', 'in', 'Sydney', 'cafe', ',', 'Australian', 'prime', 'minister', 'says', 'it', 'may', 'be', '“', 'politically', 'motivated', '”']",support
1168,"['Politically', 'Motivated', '?', 'Really', '?', ""Why's"", 'that', 'then', '?']",query
1169,"['*', 'checks', 'watch', '*', 'Need', 'a', 'few', 'more', 'hours', 'for', 'your', 'lawyers', 'to', 'check', 'your', 'facts', '?', 'lol']",query
1170,"['is', 'headed', 'there', 'to', 'beg', 'the', 'hostage', 'takers', 'to', 'surrender', '.']",comment
1171,"[':', 'Hostage', 'situation', 'erupts', 'in', 'Sydney', 'cafe', ',', 'Australian', 'prime', 'minister', 'says', 'it', 'may', 'be', '""', 'politically', 'motivated', '""']",query
1172,"['“', ':', 'Hostage', 'situation', 'erupts', 'in', 'Sydney', 'cafe', ',', 'Australian', 'prime', 'minister', 'says', 'it', 'may', 'be', '""', 'politically', 'motivated', '""', '”']",deny
1173,"['u', 'r', 'just', 'now', 'reporting', 'on', 'this', '?', 'Wow']",query
1174,"['in', 'other', 'news', ',', 'sky', 'is', 'blue', '.']",comment
1175,"['Australian', 'Govt', 'language', 'specialists', 'defined', 'these', 'words', 'as', 'all-encompassing', 'meaning', 'any', 'action', 'perpetrated', 'against', 'Australian', 'citizens']",support
1176,"['Its', 'about', 'chocolate', '!']",support
1177,"['perfect', 'first', 'comment']",comment
1178,"['""', 'may', 'be', '""', 'really', '?', '(', 'forehead', 'smack', ')']",deny
1179,"['Actually', ',', 'he', 'said', '""', 'We', ""don't"", 'know', 'if', ""it's"", 'politically', 'motivated', '""', '.', 'Check', 'your', 'facts', ',', 'guys', '.']",deny
1180,"['“', ':', 'Three', 'men', 'including', 'two', 'brothers', 'identified', 'in', 'France', 'newspaper', 'attack', ':', 'source', '”']",deny
1181,"['Go', 'to', 'hell']",comment
1182,[],comment
1183,[],support
1184,[],comment
1185,[],comment
1186,"['NO', '.', 'We', 'are', 'witness', 'on', 'how', 'the', 'world', 'have', 'let', 'terrorist', 'walk', 'on', 'our', 'streets', '.', 'Why', 'they', 'were', 'out', 'of', 'Jail', '?', 'The', 'Media']",query
1187,"['did', 'shooting', 'not', 'happen', 'in', 'paris']",query
1188,[],comment
1189,"['the', 'Muslim', 'policemen', 'who', 'died', 'protecting', 'the', 'Charlie', 'who', 'ridiculed', 'his', 'faith']",comment
1190,"['superb', '!', 'raping', 'an', 'unsuspecting', 'child', 'with', 'a', 'message', 'it', ""can't"", 'make', 'a', 'choice', 'about', 'is', 'always', 'a', 'superb', 'photo', 'op', '.', 'thanks', ',']",comment
1191,"['a', 'Fuck', 'head', 'u', 'are']",deny
1192,"['it', 'is', 'well', 'meaning', 'but', 'clueless', 'people', 'like', 'you', 'such', 'imagery', 'targets']",comment
1193,"['FUCK', 'OFF', 'DONT', 'SPREAD', 'THIS', 'ILL', 'PERSON', 'AS', 'A', 'HERO', '!']",comment
1194,[],comment
1195,[],comment
1196,"['My', 'support', '.']",support
1197,"['.', 'I', 'knew', 'it', '!', 'Those', 'crazy', 'bastards', 'are', 'the', 'only', 'ones', 'evil', 'enough', 'to', 'do', 'shit', 'like', 'that', '!']",comment
1198,"['MSM', 'refuses', 'to', 'say', 'muslim', '.', 'Just', 'a', 'mental', 'case', '.', 'As', 'are', 'all', 'muslim', '/', 'jihads', '.']",support
1199,"['this', 'is', 'not', 'a', 'surprise', '.']",comment
1200,"['Hmmm.Doesn', ""'"", 't', 'pundit', 'mean', 'joke', '?', 'I', ""haven't"", 'seen', 'this', 'on', 'news', '.']",support
1201,"['i', 'knew', 'that', 'scarf', 'he', 'was', 'wearing', 'in', 'that', 'photo', 'meant', 'trouble', '!']",support
1202,"[""Isn't"", 'Islam', 'a', 'wonderfully', 'peaceful', 'religion', '?', 'I', 'wonder', 'how', 'Iran', 'will', 'do', 'with', 'all', 'of', 'the', 'peaceful', 'centrifuges', 'O', 'gave', '?']",query
1203,"['had', 'meeting', 'with', 'former', 'president', 'in']",support
1204,"['“', ':', 'Breaking', ':', 'Gunman', 'at', 'Paris', 'store', 'threatens', 'to', 'kill', 'hostages', 'if', 'suspects', 'are', 'harmed', '.', '”', 'smh']",deny
1205,"['how', 'would', 'they', 'know', 'if', 'they', 'are', 'harmed', 'or', 'not', '?', 'Is', 'there', 'some', 'kind', 'of', 'communication', 'between', 'the', 'suspects', '?']",deny
1206,"['Before', 'attack', ',', 'French', 'began', 'ceding', 'control', 'of', 'neighborhoods', 'to', 'Islamists', '...']",comment
1207,"['the', 'terrorist', 'had', 'meeting', 'with', 'président', 'in']",comment
1208,[],support
1209,"['“', ':', 'Breaking', ':', 'Gunman', 'at', 'Paris', 'store', 'threatens', 'to', 'kill', 'hostages', 'if', 'suspects', 'are', 'harmed', '.', '”', 'smfh']",support
1210,"['Well', 'that', 'guys', 'a', 'nut', '.']",comment
1211,"['Omg', '“', ':', 'Breaking', ':', 'Gunman', 'at', 'Paris', 'store', 'threatens', 'to', 'kill', 'hostages', 'if', 'suspects', 'are', 'harmed', '.', '”']",comment
1212,"['seems', 'it', 'would', 'behoove', 'police', 'to', 'kill', 'that', 'particular', 'gunman', 'first', 'then', '.']",comment
1213,"['“', ':', 'Breaking', ':', 'Gunman', 'at', 'Paris', 'store', 'threatens', 'to', 'kill', 'hostages', 'if', 'suspects', 'are', 'harmed', '.', '”']",support
1214,"['“', ':', 'Breaking', ':', 'Gunman', 'at', 'Paris', 'store', 'threatens', 'to', 'kill', 'hostages', 'if', 'suspects', 'are', 'harmed', '.', '”', 'What', 'a', 'mess']",comment
1215,"['Mr', 'Putin', 'building', 'the', 'nation', 'is', 'great', '.', 'Good', 'country', 'man', 'and', 'best', 'president']",comment
1216,"['Given', 'the', 'state', 'of', 'Russian', 'medical', 'facilities', ',', 'makes', 'sense', 'she', 'would', 'run', 'to', 'Switzerland', '.', 'Not', 'very', 'patriotic', ',', 'though', '.']",comment
1217,"['Makes', 'no', 'sense', 'though', '.', 'Why', 'go', 'to', 'Switzerland', 'for', 'that', '?', 'Too', 'much', 'hassle', '.']",comment
1218,"['“', ':', 'Swiss', 'Rumorsutin', 'absence', 'due', 'to', 'girlfriendAlina', 'giving', 'birth', '”']",support
1219,"['Welcome', 'Sir', '!']",comment
1220,"['of', 'course', ',', 'keep', 'dreaming']",comment
1221,"['My', 'money', 'still', 'could', 'have', 'shaken', 'security']",comment
1222,"['At', 'least', 'its', 'not', 'Merkel', 'so', 'we', 'would', 'have', 'a', 'problem', '.']",comment
1223,"['have', 'you', 'read', 'this', '?', 'Is', 'Andrei', 'Illarionov', 'a', 'reliable', 'source', 'in', 'your', 'opinion', '?']",query
1224,"['Both', 'have', 'proved', 'their', 'flexibility', '!']",comment
1225,"['I', 'am', 'flying', 'with', 'in', 'weeks', '!', '!', '!', 'SO', 'FUCKING', 'SCARED', '“', ':', 'no', 'survivors', 'in', 'the', 'crash', '.', '”']",comment
1226,"['BREAKING', '-', 'Germanwings', 'plane', 'crashes', 'in', 'France', ',', 'up', 'to', 'believed', 'dead']",support
1227,"['condolences', 'to', 'the', 'families', '!', 'My', 'prayers', 'are', 'with', 'them', '!']",support
1228,"['“', ':', 'A', 'shot', 'that', 'captures', 'the', ':', 'sheer', 'terror', '/', 'relief', 'of', 'escaped', 'hostages', '”', 'so', 'distressing']",comment
1229,"['the', 'identity', 'of', 'hostages', 'should', 'not', 'go', 'public']",comment
1230,"['agreed', '.', 'No', 'naming', 'hostages', '.', 'We', 'do', 'not', 'need', 'to', 'know', '.', 'Please', 'respect', 'them', '.']",comment
1231,"['FFS', ',', ""she's"", 'been', 'through', 'enough', 'without', 'you', 'plastering', 'close', 'ups', 'of', 'her', 'face', 'all', 'over', 'twitter', '.', 'Leave', 'her', 'alone', '.']",comment
1232,"['amen', 'to', 'that', '!', '!', '!', 'Bloody', 'media', '.', 'Leave', 'the', 'poor', 'girl', 'alone', '.']",comment
1233,"['Better', 'than', 'the', 'cretins', 'posting', 'selfies', 'from', 'the', 'same', 'area']",comment
1234,['seconded'],comment
1235,"['some', 'people', 'have', 'no', 'heart', 'taking', 'selfies', 'when', 'around', 'the', 'area']",comment
1236,"['this', 'was', 'live', 'on', 'TV', 'so', 'they', ""didn't"", 'have', 'time', 'to', 'blur', 'faces', '.', 'Keep', 'in', 'mind', ""it's"", 'LIVE', ',', 'no', 'time', 'for', 'editing', '.']",comment
1237,"['So', 'relieved', 'some', 'have', 'escaped', '/', 'been', 'released', '.', 'The', 'eerience', 'will', 'haunt', 'them', 'though', '.', 'Brave', 'police', '.']",comment
1238,"['all', 'I', 'want', 'to', 'do', 'is', 'give', 'her', 'a', 'hug', '.', 'Poor', 'girl', '.', 'Does', 'bring', 'tears', 'to', 'the', 'eye']",comment
1239,"[""they'd"", 'be', 'the', 'best', 'arms', 'in', 'the', 'world', 'to', 'have', 'around', 'you', 'after', 'the', 'ordeal', ""she'd"", 'have', 'gone', 'through']",comment
1240,"['So', 'horrendously', 'terrifying', '.']",comment
1241,"['powerful', 'shot']",comment
1242,"['Why', 'is', 'her', 'face', 'not', 'obscured', '?', 'Think', 'about', 'he', 'family', '.']",comment
1243,"['I', 'understand', 'what', ""you're"", 'saying', 'but', 'that', 'would', 'kind', 'of', 'defeat', 'the', 'purpose', ',', 'apt', '.']",comment
1244,"[""I'm"", 'just', 'finding', 'a', 'lot', 'of', 'the', 'gratuitous', 'photo', 'tweeting', 'a', 'bit', 'of', 'a', 'strain', '.']",comment
1245,"['Agree', ',', 'but', 'that', 'image', 'is', 'a', 'powerful', 'encapsulation', 'of', 'how', 'awful', 'this', 'whole', 'thing', 'is', '.', 'Really', 'brings', 'it', 'home', '.']",support
1246,"['I', 'know', 'why', 'it', 'is', 'being', 'circulated', 'but', 'perhaps', 'I', 'wish', 'it', 'was', 'being', 'used', 'with', 'some', 'more', 'restraint', '.']",comment
1247,"[""she's"", 'kinda', 'cute', 'considering', ""she's"", 'all', 'scared', 'out', 'of', 'her', 'mind', 'and', 'all', '.']",comment
1248,"['Is', 'she', 'an', 'actress', '?', 'This', 'photo', 'makes', 'my', 'conspiracy', 'senses', 'tingle', '...', 'ya', ""'"", 'know', '?']",comment
1249,"['.', 'lol', '...', 'anything', 'is', 'possible', '.']",support
1250,"['this', 'really', 'saddens', 'me', '.', 'Why', ""can't"", 'people', 'just', 'get', 'along', '?', 'Those', 'people', 'are', 'innocent']",comment
1251,[],comment
1252,"['“', ':', 'Five', 'Hostages', 'Escape', 'Sydney', 'Cafe', 'Siege', '—', 'Live', 'Updates', 'From', '”']",support
1253,"['Gelukkig', '!', '“', ':', 'Hostages', 'Escape', 'Sydney', 'Cafe', 'Siege', '—', 'Live', 'Updates', 'From', '”']",query
1254,"['Whoa', 'die', 'vine', '.', 'RT', ':', 'Five', 'Hostages', 'Escape', 'Sydney', 'Cafe', 'Siege']",comment
1255,[],comment
1256,"['its', 'about', 'time', '...']",comment
1257,"['I', 'WILL', 'KEEP', 'THE', 'BROWN', 'FAMILY', 'IN', 'PRAYERS', '!']",comment
